Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCF_002367955.1	Anabaena cylindrica PCC 7122		NIES-19				NCBI Prokaryotic Genome Annotation Pipeline	7025636	Chromosome	2017-06-25	
GCA_002367955.1	Anabaena cylindrica PCC 7122		NIES-19				Annotation submitted by Toyohashi University of Technology	7025636	Chromosome	2017-06-25	
GCF_002367975.1	Anabaenopsis circularis NIES-21		NIES-21				NCBI Prokaryotic Genome Annotation Pipeline	7069985	Chromosome	2017-06-25	
GCA_002367975.1	Anabaenopsis circularis NIES-21		NIES-21				Annotation submitted by Toyohashi University of Technology	7069985	Chromosome	2017-06-25	
GCF_015245355.1	Anabaenopsis elenkinii CCIBt3563		CCIBt3563				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4495168	Chromosome	2020-11-05	
GCA_015245355.1	Anabaenopsis elenkinii CCIBt3563		CCIBt3563				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4495168	Chromosome	2020-11-05	
GCF_006968745.1	Brasilonema sennae CENA114		CENA114				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8226398	Chromosome	2019-07-15	
GCA_006968745.1	Brasilonema sennae CENA114		CENA114				NCBI Prokaryotic Genome Annotation Pipeline	8226398	Chromosome	2019-07-15	
GCF_002367995.1	Calothrix brevissima NIES-22		NIES-22				NCBI Prokaryotic Genome Annotation Pipeline	9257480	Chromosome	2017-06-25	
GCA_002367995.1	Calothrix brevissima NIES-22		NIES-22				Annotation submitted by Toyohashi University of Technology	9257480	Chromosome	2017-06-25	
GCF_002368095.1	Calothrix parasitica NIES-267		NIES-267				NCBI Prokaryotic Genome Annotation Pipeline	9491741	Chromosome	2017-06-25	
GCA_002368095.1	Calothrix parasitica NIES-267		NIES-267				Annotation submitted by Toyohashi University of Technology	9491741	Chromosome	2017-06-25	
