Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCA_012033135.1	Acaryochloridaceae cyanobacterium CSU_3_4				CSU_3_4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2745695	Contig	2020-04-05	JAAUPJ01
GCA_012033145.1	Acaryochloridaceae cyanobacterium CSU_5_19				CSU_5_19		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1282337	Contig	2020-04-05	JAAUPK01
GCA_012032835.1	Acaryochloridaceae cyanobacterium RL_2_7				RL_2_7		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1461446	Contig	2020-04-05	JAAUQC01
GCA_012032135.1	Acaryochloridaceae cyanobacterium RU_4_10				RU_4_10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4483680	Contig	2020-04-05	JAAURS01
GCF_000238775.1	Acaryochloris sp. CCMEE 5410		CCMEE 5410				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	7875477	Contig	2011-06-03	AFEJ01
GCA_000238775.2	Acaryochloris sp. CCMEE 5410		CCMEE 5410					7875477	Contig	2011-06-03	AFEJ01
GCA_012034865.1	Acaryochloris sp. CRU_2_0				CRU_2_0		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4887116	Contig	2020-04-06	JAAUOM01
GCA_012032145.1	Acaryochloris sp. RU_4_1				RU_4_1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5062249	Contig	2020-04-05	JAAURR01
GCA_019359795.1	Aetokthonos hydrillicola CCALA 1050				CCALA 1050		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9546647	Contig	2021-07-27	JAHHGQ01
GCF_000952155.1	Aliterella atlantica CENA595		CENA595				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5265703	Contig	2015-03-13	JYON01
GCA_000952155.1	Aliterella atlantica CENA595		CENA595				NCBI Prokaryotic Genome Annotation Pipeline	5265703	Contig	2015-03-13	JYON01
GCA_002148405.1	Alkalinema sp. CACIAM 70d				CACIAM 70d		NCBI Prokaryotic Genome Annotation Pipeline	6461029	Contig	2017-05-18	MUGG01
GCF_014697025.1	Alkalinema sp. FACHB-956		FACHB-956				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6161523	Contig	2020-09-22	JACJRC01
GCA_014697025.1	Alkalinema sp. FACHB-956		FACHB-956				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6161523	Contig	2020-09-22	JACJRC01
GCA_012033605.1	Alkalinema sp. RL_2_19				RL_2_19		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1538765	Contig	2020-04-05	JAAUPX01
GCA_012031975.1	Alkalinema sp. RU_4_3				RU_4_3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5252863	Contig	2020-04-05	JAAUSA01
GCF_015207835.1	Anabaena aphanizomenioides LEGE 00250		LEGE 00250				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5585676	Contig	2020-11-02	JADEWB01
GCA_015207835.1	Anabaena aphanizomenioides LEGE 00250		LEGE 00250				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5585676	Contig	2020-11-02	JADEWB01
GCF_014697625.1	Anabaena azotica FACHB-119		FACHB-119				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8048170	Contig	2020-09-22	JACJSG01
GCA_014697625.1	Anabaena azotica FACHB-119		FACHB-119				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8048170	Contig	2020-09-22	JACJSG01
