Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession
GCA_012030735.1	Acaryochloridaceae cyanobacterium SU_2_1				SU_2_1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3021098	Scaffold	2020-04-05	JAAUUW01
GCA_012030725.1	Acaryochloris sp. SU_5_25				SU_5_25		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2424938	Scaffold	2020-04-05	JAAUVC01
GCF_003231495.1	Acaryochloris thomasi RCC1774		RCC1774				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5931841	Scaffold	2018-06-15	PQWO01
GCA_003231495.1	Acaryochloris thomasi RCC1774		RCC1774				Annotation submitted by Station Biologique de Roscoff, CNRS and Sorbonne Universite	5931841	Scaffold	2018-06-15	PQWO01
GCF_011009555.1	Adonisia turfae CCMR0081		CCMR0081				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8660379	Scaffold	2020-02-25	QXHD01
GCA_011009555.1	Adonisia turfae CCMR0081		CCMR0081				NCBI Prokaryotic Genome Annotation Pipeline	8660379	Scaffold	2020-02-25	QXHD01
GCF_011009535.1	Adonisia turfae CCMR0082		CCMR0082				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8890835	Scaffold	2020-02-25	QZCE01
GCA_011009535.1	Adonisia turfae CCMR0082		CCMR0082				NCBI Prokaryotic Genome Annotation Pipeline	8890835	Scaffold	2020-02-25	QZCE01
GCF_017591665.1	Aetokthonos hydrillicola CCALA 1050		CCALA 1050				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9019084	Scaffold	2021-03-26	JAAKGC01
GCA_017591665.1	Aetokthonos hydrillicola CCALA 1050		CCALA 1050				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9019084	Scaffold	2021-03-26	JAAKGC01
GCF_017591595.1	Aetokthonos hydrillicola Thurmond2011		Thurmond2011				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8262029	Scaffold	2021-03-26	JAALHA01
