"ID"	"Phylum"	"Type"	"Size"
"Cyanobium_sp_CACIAM_14"	" Cyanobium"	"freshwater"	3212489
"Synechococcus_sp_CB0205_CB0205_"	" Synechococcus"	"Brackish"	2427308
"Synechococcus_sp_PCC_7002_PCC_7002_"	" Synechococcus"	"unspecified"	3498368
"Synechococcus_sp_CC9311_CC9311_"	" Synechococcus"	"freshwater"	2606748
"Synechococcus_elongatus_PCC_6301_PCC_6301_"	" Synechococcus"	"freshwater"	2749599
"Candidatus_Synechococcus_spongiarum_LMB_bulk15N"	" Synechococcus"	"unspecified"	1472743
"Candidatus_Synechococcus_spongiarum_LMB_bulk15M"	" Synechococcus"	"unspecified"	1500513
"Synechococcus_sp_PCC_6312_PCC_6312_"	" Synechococcus"	"freshwater"	3720499
"Synechococcus_sp_EJ6-Ellesmere_EJ6-Ellesmere_"	" Synechococcus"	"freshwater"	2892111
"Synechococcus_sp_JJ3a-Johnson_JJ3a-Johnson_"	" Synechococcus"	"freshwater"	2848959
"Cyanobium_sp_N5-Cardenillas_N5-Cardenillas_"	" Cyanobium"	"freshwater"	2592858
"Cyanobium_sp_ATX_6A2_ATX_6A2_"	" Cyanobium"	"freshwater"	3005893
"Cyanobium_sp_BA20m-p-22_BA20m-p-22_"	" Cyanobium"	"freshwater"	3148136
"Cyanobium_sp_Cruz_CV13-4-11_Cruz_CV13-4-11_"	" Cyanobium"	"freshwater"	3414812
"Cyanobium_sp_BA5m-21_BA5m-21_"	" Cyanobium"	"freshwater"	2583130
"Synechococcus_sp_RedBA-s_RedBA-s_"	" Synechococcus"	"freshwater"	2716594
"Cyanobium_sp_Alchichica_3B3-8F6_Alchichica_3B3-8F6_"	" Cyanobium"	"freshwater"	2480576
"Cyanobium_sp_T1B-Tous_T1B-Tous_"	" Cyanobium"	"freshwater"	2712772
"Synechococcus_lacustris_L1F-Slac_L1F-Slac_"	" Synechococcus"	"freshwater"	2233108
"Cyanobium_sp_BA5m-10_BA5m-10_"	" Cyanobium"	"freshwater"	2866169
"Synechococcus_lacustris_L1E-Slac_L1E-Slac_"	" Synechococcus"	"freshwater"	2260992
"Synechococcus_sp_L2F"	" Synechococcus"	"freshwater"	3037934
"Cyanobium_sp_CH-040_CH-040_"	" Cyanobium"	"freshwater"	2900923
"Cyanobium_sp_BA20m-14_BA20m-14_"	" Cyanobium"	"freshwater"	2778589
"Vulcanococcus_limneticus_Candia_3F8_Candia_3F8_"	" Vulcanococcus"	"freshwater"	3496329
"Cyanobium_sp_Morenito_9A2_Morenito_9A2_"	" Cyanobium"	"freshwater"	3103610
"Synechococcus_sp_Cruz-7E5_Cruz-7E5_"	" Synechococcus"	"freshwater"	3155391
"Cyanobium_sp_Tous-M-B4_Tous-M-B4_"	" Cyanobium"	"freshwater"	2743075
"Cyanobium_sp_T1G-Tous_T1G-Tous_"	" Cyanobium"	"freshwater"	2780711
"Synechococcus_lacustris_Maggiore-St4-Slac_Maggiore-St4-Slac_"	" Synechococcus"	"freshwater"	2296351
"Cyanobium_sp_L1E-Cus_L1E-Cus_"	" Cyanobium"	"freshwater"	2601668
"Synechococcus_sp_HJ21-Hayes_HJ21-Hayes_"	" Synechococcus"	"freshwater"	2936087
"Cyanobium_sp_ATX_6F1_ATX_6F1_"	" Cyanobium"	"freshwater"	2964692
"Cyanobium_sp_Maggiore-St4-Cus_Maggiore-St4-Cus_"	" Cyanobium"	"freshwater"	2757080
"Cyanobium_sp_Aljojuca_7D2_Aljojuca_7D2_"	" Cyanobium"	"freshwater"	2537363
"Synechococcus_sp_GreenBA-s_GreenBA-s_"	" Synechococcus"	"freshwater"	2852592
"Synechococcus_sp_Cruz_CV-v-12_Cruz_CV-v-12_"	" Synechococcus"	"freshwater"	3022307
"Cyanobium_sp_Aljojuca_7A6_Aljojuca_7A6_"	" Cyanobium"	"freshwater"	3131121
"Cyanobium_sp_La_Preciosa_7G6_La_Preciosa_7G6_"	" Cyanobium"	"freshwater"	3130083
"Cyanobium_sp_A1C-AMD_A1C-AMD_"	" Cyanobium"	"freshwater"	2464954
"Cyanobium_sp_Cruz-8D1_Cruz-8D1_"	" Cyanobium"	"freshwater"	3965486
"Synechococcus_sp_ATX_2A4_ATX_2A4_"	" Synechococcus"	"freshwater"	2920482
"Cyanobium_sp_HWJ4-Hawea_HWJ4-Hawea_"	" Cyanobium"	"freshwater"	2350250
"Cyanobium_sp_ATX_6E8_ATX_6E8_"	" Cyanobium"	"freshwater"	2621355
"Cyanobium_sp_A2C-AMD_A2C-AMD_"	" Cyanobium"	"freshwater"	3014533
"Synechococcus_lacustris_C3-12m-Tous_C3-12m-Tous_"	" Synechococcus"	"freshwater"	2569458
"Synechococcus_elongatus_PCC_7942_=_FACHB-805_FACHB-805_"	" Synechococcus"	"freshwater"	2743371
"Cyanobium_sp_Cruz_CV11-17"	" Cyanobium"	"freshwater"	3421842
"Synechococcus_sp_Edmonson_11F2_Edmonson_11F2_"	" Synechococcus"	"freshwater"	3150148
"Synechococcus_sp_Cruz_CV12-2-Slac-r_Cruz_CV12-2-Slac-r_"	" Synechococcus"	"freshwater"	1910488
"Cyanobium_sp_WAJ14-Wanaka_WAJ14-Wanaka_"	" Cyanobium"	"freshwater"	2144642
"Synechococcus_sp_Cruz-7B9_Cruz-7B9_"	" Synechococcus"	"freshwater"	3155662
"Synechococcus_sp_Tobar12-5m-g_Tobar12-5m-g_"	" Synechococcus"	"freshwater"	2951029
"Vulcanococcus_limneticus_MW73D5_MW73D5_"	" Vulcanococcus"	"freshwater"	3446141
"Cyanobium_sp_AMD-g"	" Cyanobium"	"freshwater"	3121205
"Cyanobium_sp_WKJ7-Wakatipu_WKJ7-Wakatipu_"	" Cyanobium"	"freshwater"	2810613
